location,indicator,subject,measure,frequency,time,value,flag_codes
USA,MEATCONSUMP,BEEF,KG_CAP,A,2027,27.0629327207211,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2028,26.9896090855071,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,1990,11047.4248131025,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,1991,11076.0477903049,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,1992,11145.8460616623,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,1993,11018.411436194,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,1994,11527.9668244242,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,1995,11726.1905545908,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,1996,11902.5660750887,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,1997,11767.6766156807,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,1998,12051.7872560632,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,1999,12324.701862662,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2000,12502.5628999383,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2001,12351.2093786966,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2002,12737.9322606445,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2003,12338.9065782139,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2004,12667.4892818091,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2005,12663.3615863332,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2006,12833.8218016992,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2007,12841.4421625777,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2008,12447.3180051265,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2009,12268.3429436647,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2010,12032.3204091689,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2011,11689.6722430451,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2012,11701.5903967405,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2013,11569.1430815569,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2014,11211.2845844009,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2015,11276.31982857,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2016,11678.3550999546,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2017,12046.1123551732,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2018,12179.4686705473,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2019,12566.3492337795,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2020,12883.0881035237,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2021,12966.8795204085,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2022,12955.2288061995,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2023,13091.5597515129,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2024,13215.1986065711,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2025,13283.7743151825,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2026,13380.8929571694,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2027,13451.4196566205,
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2028,13503.6825433227,
